Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
NYRB,Abang,Anatole,F,"$50,000","$50,000.00",2015
PHI,Ayuk,Eric,M,"$50,000","$50,000.00",2015
COL,Badji,Dominique,F,"$50,000","$50,000.00",2015
NYCFC,Brandt,Connor,M,"$50,000","$50,000.00",2015
CHI,Bryce,Kingsley,M,"$50,000","$50,000.00",2015
KC,Dia,Amadou,D,"$50,000","$50,000.00",2015
CHI,Doody,Patrick,D,"$50,000","$50,000.00",2015
ORL,Edwards,Earl,GK,"$50,000","$50,000.00",2015
SEA,Fisher,Oniel,D,"$50,000","$50,000.00",2015
POR,Fochive,George,M,"$50,000","$50,000.00",2015
SJ,Gomez,Tomas,GK,"$50,000","$50,000.00",2015
HOU,Hunter,Taylor,D,"$50,000","$50,000.00",2015
RSL,Kavita,Phanuel,D,"$50,000","$50,000.00",2015
ORL,Lameira,Valdomiro,M,"$50,000","$50,000.00",2015
HOU,Lovejoy,Rob,M,"$50,000","$50,000.00",2015
SEA,Lyon,Charlie,GK,"$50,000","$50,000.00",2015
VAN,McKendry,Ben,M,"$50,000","$50,000.00",2015
NYRB,McLaws,Shawn,D,"$50,000","$50,000.00",2015
DC,Mishu,Luke,D,"$50,000","$50,000.00",2015
NYRB,Obekop,Marius,M,"$50,000","$50,000.00",2015
NE,Okoli,Sean,F,"$50,000","$50,000.00",2015
POR,Peay,Taylor,D,"$50,000","$50,000.00",2015
MTL,Porter,Cameron,F,"$50,000","$50,000.00",2015
ORL,Ramos,Rafael,D,"$50,000","$50,000.00",2015
ORL,Rivera,Sidney,F,"$50,000","$50,000.00",2015
NE,Rudy,Tyler,M,"$50,000","$50,000.00",2015
NYRB,Sanchez,Emmanuel,M,"$50,000","$50,000.00",2015
NE,Spangenberg,Trevor,GK,"$50,000","$50,000.00",2015
DC,Worra,Travis,GK,"$50,000","$50,000.00",2015
COL,Greenspan,Joseph,D,"$50,000","$50,000.04",2015
NYCFC,Johansen,Eirik,GK,"$50,000","$50,000.04",2015
POR,Manning,Anthony,D,"$50,000","$50,000.04",2015
POOL,Mitchell,Trey,GK,"$50,000","$50,000.04",2015
NE,Mulgrew,Timothy,F,"$50,000","$50,000.04",2015
SJ,Silva,Matheus,,"$50,000","$50,000.04",2015
LA,Wolverton,Andrew,GK,"$50,000","$50,000.04",2015
CLB,Campbell,Sergio,D/M,"$50,000","$52,500.00",2015
SEA,Mansaray,Victor,F,"$50,000","$53,500.00",2015
VAN,Bustos,Marco,M,"$50,000","$54,850.00",2015
KC,Quintilla,Jordi,M,"$50,000","$59,525.04",2015
DC,Aguilar,Miguel,M,"$60,000","$60,000.00",2015
NYCFC,Allen,RJ,D,"$60,000","$60,000.00",2015
TOR,Aparicio,Manuel,M,"$60,000","$60,000.00",2015
POR,Asprilla,Dairon,F,"$60,000","$60,000.00",2015
SJ,Barrera,Leandro,F,"$60,000","$60,000.00",2015
DAL,Barrios,Michael,M,"$60,000","$60,000.00",2015
CLB,Barson,Chad,D,"$60,000","$60,000.00",2015
ORL,Bedell,Adam,F,"$60,000","$60,000.00",2015
COL,Berner,John,GK,"$60,000","$60,000.00",2015
PHI,Bird,Eric,M,"$60,000","$60,000.00",2015
MTL,Cabrera,Victor,D,"$60,000","$60,000.00",2015
VAN,Carducci,Marco,GK,"$60,000","$60,000.00",2015
PHI,Carreiro,Fred,M,"$60,000","$60,000.00",2015
NYRB,Castano,Santiago,GK,"$60,000","$60,000.00",2015
SJ,Cato,Cordell,F,"$60,000","$60,000.00",2015
VAN,Clarke,Caleb,F,"$60,000","$60,000.00",2015
CHI,Cochrane,Greg,D,"$60,000","$60,000.00",2015
SEA,Craven,Andy,F,"$60,000","$60,000.00",2015
MTL,Crepeau,Maxime,GK,"$60,000","$60,000.00",2015
NYRB,Duvall,Chris,D,"$60,000","$60,000.00",2015
DC,Dykstra,Andrew,GK,"$60,000","$60,000.00",2015
PHI,Fernandes,Leo,M,"$60,000","$60,000.00",2015
RSL,Fernandez,Eduardo,GK,"$60,000","$60,000.00",2015
VAN,Flores,Deybi,M,"$60,000","$60,000.00",2015
ORL,Ford,Josh,GK,"$60,000","$60,000.00",2015
LA,Garcia,Rafael,M,"$60,000","$60,000.00",2015
CLB,George,Kevan,M,"$60,000","$60,000.00",2015
NYRB,Grella,Mike,F,"$60,000","$60,000.00",2015
TOR,Hagglund,Nick,D,"$60,000","$60,000.00",2015
ORL,Heath,Harrison,M,"$60,000","$60,000.00",2015
NE,Herivaux,Zachary,M,"$60,000","$60,000.00",2015
ORL,Higuita,Cristian,M,"$60,000","$60,000.00",2015
HOU,Hoffman,Chandler,F,"$60,000","$60,000.00",2015
DAL,Hollingshead,Ryan,M,"$60,000","$60,000.00",2015
PHI,Hoppenot,Antoine,F,"$60,000","$60,000.00",2015
MTL,Jackson-Hamel,Anthony,F,"$60,000","$60,000.00",2015
SJ,Jahn,Adam,F,"$60,000","$60,000.00",2015
LA,Jamieson,Bradford,F,"$60,000","$60,000.00",2015
CHI,Kann,Alec,GK,"$60,000","$60,000.00",2015
DAL,Keel,Stephen,D,"$60,000","$60,000.00",2015
DC,Kemp,Taylor,D,"$60,000","$60,000.00",2015
SJ,Koval,JJ,M,"$60,000","$60,000.00",2015
CLB,Lampson,Matt,GK,"$60,000","$60,000.00",2015
NYRB,Lawrence,Kemar,D,"$60,000","$60,000.00",2015
MTL,Lefevre,Wandrille,M,"$60,000","$60,000.00",2015
CLB,Lev-Ari,Sagi,F,"$60,000","$60,000.00",2015
HOU,Lisch,Michael,GK,"$60,000","$60,000.00",2015
TOR,Lovitz,Daniel,M,"$60,000","$60,000.00",2015
LA,Maganto,Ignacio,M,"$60,000","$60,000.00",2015
TOR,Mannella,Chris,M,"$60,000","$60,000.00",2015
HOU,Manotas,Mauro,F,"$60,000","$60,000.00",2015
PHI,Marquez,Richard,D,"$60,000","$60,000.00",2015
PHI,McLaughlin,James,M,"$60,000","$60,000.00",2015
KC,Medranda,Jimmy,M,"$60,000","$60,000.00",2015
SJ,Meredith,Bryan,GK,"$60,000","$60,000.00",2015
HOU,Miranda,Leonel,M,"$60,000","$60,000.00",2015
POR,Nanchoff,Michael,M,"$60,000","$60,000.00",2015
SEA,Ockford,Jimmy,D,"$60,000","$60,000.00",2015
HOU,Olabiyi,Rasheed,M,"$60,000","$60,000.00",2015
DC,Opare,Kofi,D,"$60,000","$60,000.00",2015
NYRB,Ouimette,Karl,D,"$60,000","$60,000.00",2015
POR,Pereira,Jeanderson,D,"$60,000","$60,000.00",2015
LA,Perk,Brian,GK,"$60,000","$60,000.00",2015
PHI,Pfeffer,Zach,M,"$60,000","$60,000.00",2015
SEA,Remick,Dylan,D,"$60,000","$60,000.00",2015
ORL,Ribeiro,Pedro,M,"$60,000","$60,000.00",2015
CHI,Ritter,Chris,M,"$60,000","$60,000.00",2015
ORL,Rivas,Carlos,M,"$60,000","$60,000.00",2015
TOR,Roberts,Quillan,GK,"$60,000","$60,000.00",2015
HOU,Rodriguez,Jose Memo,M,"$60,000","$60,000.00",2015
LA,Romney,David,D,"$60,000","$60,000.00",2015
SEA,Rose,Andy,M,"$60,000","$60,000.00",2015
LA,Rowe,Brian,GK,"$60,000","$60,000.00",2015
LA,Rugg,Charlie,F,"$60,000","$60,000.00",2015
VAN,Sampson,Ethen,D,"$60,000","$60,000.00",2015
RSL,Sandoval,Devon,F,"$60,000","$60,000.00",2015
CLB,Schoenfeld,Aaron,F,"$60,000","$60,000.00",2015
SJ,Sherrod,Mark,F,"$60,000","$60,000.00",2015
TOR,Simonin,Clement,D,"$60,000","$60,000.00",2015
NE,Smith,Donnie,M,"$60,000","$60,000.00",2015
CLB,Stuver,Brad,GK,"$60,000","$60,000.00",2015
PHI,Sylvestre,Brian,GK,"$60,000","$60,000.00",2015
NYCFC,Tasende,Jose Angel,D,"$60,000","$60,000.00",2015
MTL,Tissot,Maxim,D,"$60,000","$60,000.00",2015
MTL,Toia,Donny,D,"$60,000","$60,000.00",2015
ORL,Turner,Tyler,D,"$60,000","$60,000.00",2015
DAL,Ulloa,Victor,M,"$60,000","$60,000.00",2015
NYCFC,Velasquez,Sebastian,M,"$60,000","$60,000.00",2015
LA,Walker,Kenney,M,"$60,000","$60,000.00",2015
NYRB,Wallace,Anthony,M-D,"$60,000","$60,000.00",2015
COL,Watts,Jared,M,"$60,000","$60,000.00",2015
POR,Weber,Andrew,GK,"$60,000","$60,000.00",2015
NE,Woodberry,London,D,"$60,000","$60,000.00",2015
SEA,Kovar,Aaron,M,"$60,000","$60,200.00",2015
LA,Mendiola,Raul,F,"$60,000","$60,400.00",2015
KC,Palmer-Brown,Erik,D,"$60,000","$60,500.00",2015
RSL,Saucedo,Sebastian,M,"$50,000","$60,500.00",2015
DC,Doyle,Conor,F,"$60,000","$61,250.00",2015
DAL,Hernandez,Moises,D,"$60,000","$61,625.00",2015
LA,Sorto,Oscar,D,"$60,000","$61,875.00",2015
LA,Villarreal,Jose,M,"$60,000","$61,875.00",2015
SEA,Azira,Michael,D,"$60,000","$62,826.88",2015
SJ,Francis,Shaun,D,"$60,000","$62,940.32",2015
POR,Seaton,Michael,F,"$60,000","$63,000.00",2015
NYCFC,Alvarez,Pablo,M,"$60,000","$63,045.09",2015
NYCFC,Poku,Kwadwo,M,"$60,000","$63,045.09",2015
KC,Ellis,Kevin,D,"$60,000","$63,150.00",2015
CLB,Gall,Romain,M,"$60,000","$63,420.08",2015
RSL,Maund,Aaron,D,"$60,000","$63,449.50",2015
SJ,Fucito,Michael,MF,"$60,638","$63,527.80",2015
MTL,Gagnon-Lapare,Jeremy,M,"$60,000","$64,000.00",2015
RSL,Pecka,,M,"$60,000","$64,166.67",2015
,Dike,Bright,F,"$60,638","$64,388.00",2015
VAN,Froese,Kianz,M-F,"$60,000","$64,500.00",2015
NYRB,Lade,Connor,D,"$60,638","$64,891.01",2015
VAN,Adekugbe,Samuel,D,"$60,000","$65,000.00",2015
COL,Eloundou,Charles,F,"$60,000","$65,000.00",2015
SEA,Scott,Zach,D,"$65,000","$65,000.00",2015
COL,Solignac,Luis,F,"$65,004","$65,004.00",2015
RSL,Attinella,Jeff,GK,"$60,000","$65,083.33",2015
TOR,Konopka,Chris,GK,"$66,000","$66,000.00",2015
CHI,Jones,Joevin,M,"$60,000","$66,166.67",2015
SEA,Jones,Darwin,F,"$60,000","$66,250.00",2015
PHI,McCarthy,John,GK,"$60,000","$66,250.00",2015
RSL,Mansally,Kenny,F,"$60,000","$66,500.00",2015
CHI,Fernandez,Collin,M,"$65,000","$67,000.00",2015
NE,Caldwell,Scott,M,"$60,000","$67,500.00",2015
SEA,Correa,Andres,D,"$60,000","$68,166.67",2015
CLB,Speas,Ben,F,"$68,355","$68,355.00",2015
POR,Powell,Alvas,D,"$60,000","$68,700.00",2015
RSL,Stertzer,John,M,"$60,000","$69,166.67",2015
DAL,Gonzalez,Jesse,GK,"$60,000","$69,375.00",2015
COL,Alvarez,Carlos,M,"$70,000","$70,000.00",2015
NE,Hall,Jeremy,D,"$70,000","$70,000.00",2015
DC,Coria,Facundo,M,"$60,000","$70,375.00",2015
RSL,Ovalle,Adolfo,M,"$60,000","$70,500.00",2015
RSL,Glad,Justen,D,"$60,000","$71,000.00",2015
SEA,Lowe,Damion,D,"$60,375","$71,375.00",2015
MTL,Miller,Eric,M/D,"$60,375","$71,375.00",2015
NYCFC,McNamara,Thomas,M,"$60,000","$71,500.00",2015
SJ,Stephenson,Khari,M,"$68,254","$71,645.94",2015
COL,Calvert,Caleb,F,"$65,000","$72,500.00",2015
SJ,Pelosi,Marc,M,"$60,000","$72,500.00",2015
POR,Gleeson,Jake,GK,"$72,600","$72,600.00",2015
NYCFC,Meara,Ryan,GK,"$71,663","$72,913.00",2015
COL,Serna,Dillon,M,"$60,000","$73,000.00",2015
KC,Abdul-Salaam,Saad,D,"$60,000","$73,750.00",2015
KC,Hallisey,Connor,M,"$60,000","$73,750.00",2015
LA,Meyer,Tommy,D,"$60,000","$73,750.00",2015
DC,Jeffrey,Jared,M,"$68,250","$74,450.00",2015
NYRB,Miazga,Matt,D,"$68,250","$74,500.00",2015
ORL,Boden,Luke,D,"$75,000","$75,000.00",2015
PHI,Catic,Dzenan,F,"$60,000","$75,000.00",2015
VAN,Lewis,Andre,M,"$60,000","$75,000.00",2015
MTL,Mallace,Calum,M,"$60,000","$75,000.00",2015
SEA,Pappa,Marco,M,"$75,000","$75,000.00",2015
CHI,Polster,Matt,D,"$60,000","$75,000.00",2015
COL,Ramirez,Juan Edgardo,M,"$75,000","$75,000.00",2015
COL,Sjoberg,Axel,D,"$60,000","$75,000.00",2015
